software	count
SAS	74919
PACE	13760
Primer3	5142
Analysis	4826
browser	3686
Genome Browser	3673
Analyst	2509
Access	2273
analysis	2043
Web	1928
Leica	1913
FASTA	1808
Ingenuity	1749
Maestro	1709
Analyzer	1621
Image	1579
System	1534
UCSC	1414
package	1306
C	1116
meta	1106
GA	1088
Tool	1030
of	1026
Network	1021
Nexus	1011
One	969
PlasmidFinder	953
Open	944
PSO	883
PICOS	851
OPUS	835
Pathway Analysis	833
MS	822
Gene	816
DICOM	807
Fasta	806
ACT	792
Statistics	766
MPI	761
Map	755
NOVA	750
Delphi	749
D	709
PRO	704
X	699
COMET	682
GO	675
Pro	675
MAST	674
Calculator	655
MSA	653
FAST	647
MDS	647
VISTA	634
Plotter	602
HMM	577
script	574
ML	572
GeneScan	560
Finder	556
SIM	551
Discovery	549
SPICE	549
COM	539
IncuCyte	539
Core	534
Ion Torrent	531
MP	525
Pipeline	523
NanoString	509
J	505
STAT	504
Stat	502
SMART	496
Bayes	486
IDL	476
OASIS	474
P	468
SPIDER	460
GEM	459
SEM	459
NET	455
Profiler	455
CCA	450
REACH	449
SEER	442
FEM	440
assembler	440
GeneArt	431
Assessment Tool	424
OS	422
GAM	415
M	414
BD	413
Compass	412
SSA	411
Genomics	410
COSMO	406
DOCK	405
PageBreak	404
RAMPAGE	403
GE	402
MVPA	401
Plus	400
GEE	392
system	392
MAQ	389
MCA	384
Cell	381
Progenesis	377
O	373
MC	372
Stats	371
ONT	370
MATCH	365
TESS	361
E	360
GNU	358
API	357
GRACE	356
MD	355
ICA	354
S	350
SAP	343
Premier	342
Assessment	339
Flex	338
GeneTools	338
Power	335
BaseSpace	331
Fluent	330
SEED	329
CyTOF	326
MCS	320
ES	318
scripts	315
CST	313
ORF Finder	313
MM	312
ms	309
Omega	308
DREAM	307
I	306
FIRST	303
CPAT	299
SHARE	299
Opera	297
Server	297
GRASP	291
DSS	289
GP	288
Gen5	287
Tree	287
suite	287
GSA	286
Phylogeny	286
B	280
Design	280
ESEM	280
PICO	280
MED	279
GATE	276
Celera	275
Genome	274
Pathfinder	271
custom R script	271
Online	270
Integrated	269
plotter	269
BASE	266
COMPARE	265
MEASURE	264
MUST	263
GPA	260
FLAME	256
Simulator	256
Suite	256
Mask	255
U	255
MST	251
RASP	251
CDD	250
Basic	248
GAITRite	246
Net	246
DNA	245
Wave	244
NJ	239
RE	235
finder	235
Glide	234
ME	234
PSI-BLAST	234
SMS	233
stat	233
Incucyte	231
RADAR	230
Designer	229
Dynamics	229
Eclipse	229
ITK	229
Framework	228
GAT	228
Research	227
FSA	224
MAKER	224
3D	222
PLA	219
PCR	216
CREST	215
Imager	215
MAT	215
MDA	214
MUSIC	214
OncoPrint	214
OMA	212
GEMINI	211
Play	211
Pandas	210
GAP	209
DM	208
SPARC	208
MOVE	207
PC	207
Gene Ontology	205
CAZyme	203
Expression	203
MEA	203
IBM	202
m	202
CE	201
DL	201
Expert	201
PlayStation	201
MESA	199
Flow	198
GAMMA	198
JADE	198
PIC	198
RAS	198
Express	196
GATHER	196
Model	196
Phoenix	196
ASSIST	195
Package	195
NEMO	192
ASA	191
CORAL	190
Synapse	190
NextSeq	189
Gateway	188
Global	188
IT	187
Athena	186
Nutritionist	186
Interactive	184
Ontology	184
Predictor	184
SSM	184
COSMOS	183
Digital	183
FOCUS	182
Mapping	181
Forest	180
W	180
SL	179
Imaging	177
Wizard	177
Aligner	175
ASAP	174
PAS	174
INS	172
K	172
Matrix	172
Primer Express	172
IMP	171
My	171
Pascal	171
CAS	170
MPSS	170
DB	169
EDGE	169
PALM	168
Jena	167
COS	166
PAT	166
Professional	166
SAGA	166
Fusion	165
GAS	165
NVT	165
RAPID	165
Genetics	164
Platform	164
CS	163
Sim	163
Cell Analyzer	161
DIC	161
ComBat	160
Extraction	160
N	160
MOST	159
Navigator	159
BD [UNK]	158
DIP	158
Pathways	158
GAMS	157
EA	155
IDA	155
Theory	155
ESM	154
H	154
Generator	153
Go	153
ESP	152
GDA	152
Polar	151
SAT	151
Stan	151
GBD	150
Guide	150
PACS	150
Aurora	149
PGM	149
Prediction	149
Watch	148
CSD	147
Project	147
MSC	146
Protein	146
REDUCE	146
Assembly	145
MA	145
CD	144
Computing	144
Grid	144
PASCAL	144
Analyze Particles	143
NMA	143
V	143
Maps	142
POLYMOD	142
Generic	141
Profile	141
GeneGO	140
MAR	140
MCR	140
NICE	140
PASTA	140
Display	139
MUSE	139
ESCAPE	138
GARP	137
PROCESS	137
grid	137
Olink	136
Survey	136
MR	135
AW	134
CAZymes	134
CURE	134
ISA	134
LEAP	134
MACRO	133
SHINE	132
AVA	131
CC	131
DEM	131
ESA	131
MAC	131
PAGE	131
PREMIER	131
AUTO	130
Bacteria	130
Control	130
GENIE3	130
IncuCyte ZOOM	130
Management	130
Motif	130
Simple	130
OPT	129
OSCAR	129
SMILE	129
VISION	129
FMEA	128
MOMA	128
FLIM	127
Fit	126
LA	126
MIA	126
MPS	126
MAG	125
MP2	125
STEAM	125
ECHO	124
PAR	124
rms	124
CREATE	123
DNAnexus	123
MOT	123
ROCS	123
VB	123
gbm	123
Delta	122
Optima	122
STEPS	122
WAVE	122
CCS	121
Cortex	121
EAGLE	121
Genious	121
Noldus	121
Platinum	121
AS	120
IQ	120
RT	120
GEP	119
Maple	119
Mobile	119
RAD	119
JAMA	118
Math	118
RAP	118
SPAN	118
SSD	118
STAR	118
PD	117
Spartan	117
Verify	117
ATOM	116
CAVE	116
EAT	116
MEPS	116
MO	116
NT	116
RAM	116
Avisoft	115
ICE	115
MET	115
OA	115
PL	115
Brain	114
DISCOVER	114
GC	114
ImPACT	114
MES	114
REG	114
ATOMS	113
REP	113
TIGER	113
GRID	112
MG	112
gam	112
DOT	111
EZ	111
LS	111
MARA	111
MAX	111
MOA	111
REM	111
COPE	110
HOBO	110
Max	110
NGT	110
RESCUE	110
NL	109
OPTIMA	109
STA	109
Swift	109
Click	108
Genie	108
MFA	108
SLiM	108
Theta	108
Cosinor	107
FMA	107
MPP	107
PLATO	107
TASSEL	107
gmx	107
CLIP	106
GN	105
MPA	105
NextGen	105
SIR	105
GIMME	104
PACT	103
i	103
DIAL	102
MPM	102
ORBIT	102
PATH	102
CSA	101
Galaxy	101
LOGO	101
MORE	101
NEWS	101
OLYMPUS	101
MARCO	98
TEST	98
CRIS	97
CUT	97
DelPhi	97
PLUS	97
Consensus	96
GEMM	96
SAMBA	96
Eco	95
SPARK	95
EAST	94
FIT	94
GRIMM	94
MAGENTA	94
CRT	93
MAGIC	93
OSA	93
PARADIGM	93
PER	93
POEM	93
SMA	93
DRIVE	92
GNAT	92
MATS	92
Optimizer	92
RAVEN	92
CARMA	91
MARINA	91
SSE	91
AWARE	90
MOSAIC	90
PART	90
PDA	90
PROSPECT	90
CATCH	89
COMT	89
Desmond	89
PEER	89
PEST	89
GLIM	88
Rose	88
SANS	88
SLIM	88
EST	87
GET	87
SWISS	87
AP	86
AutoML	86
Connect	86
MEAN	86
PAINT	86
RES	86
Red	86
SOMA	86
TEAM	86
MPR	85
PAI	85
Firefly	84
GCA	84
CATT	83
Echo	83
Mobius	83
PENELOPE	83
SURE	83
VT	83
ASPIRE	82
CONTRAST	82
CVA	82
GLAD	82
Galileo	82
Hydra	82
MOTIF	82
PURE	82
PeakForce	82
Prometheus	82
DIRECT	81
Dashboard	81
MIS	81
MOR	81
NCA	81
OPERA	81
PGA	81
PROBIT	81
RAW	81
RECORD	81
SMASH	81
SWEET	81
Scratch	81
ASD	80
CONVERT	80
GB	80
LEADER	80
OPAL	80
TCA	80
ORACLE	79
Auto	78
PREDICT	78
ROAST	77
DREAMS	76
GATS	76
MOD	76
MVP	76
PERT	76
PIPER	76
SAIL	76
PCT	75
SALSA	75
GAST	74
Opal	74
SIP	74
CrowdFlower	73
ERICA	73
HFA	73
Morpheus	73
PARS	73
SPINE	73
