software	count
SPSS	347265
R	192366
GraphPad Prism	177238
ImageJ	123641
Excel	84763
Stata	80235
MATLAB	78959
BLAST	71553
Prism	36892
MEGA	34013
FlowJo	32654
ClustalW	23680
Adobe Photoshop	23409
SHELXL97	21217
Statistica	19395
Ensembl	19144
BLASTN	18759
Cytoscape	18593
SigmaPlot	18318
SHELXS97	18084
Bowtie	17790
DESeq2	15415
DAVID	14762
PyMOL	14307
Python	14001
Image-Pro Plus	13965
SAMtools	13211
ggplot2	13191
SAINT	12924
FastQC	12805
MUSCLE	12444
MAFFT	12430
GSEA	12174
limma	12159
JMP	12097
NVivo	11922
Mascot	11623
SHELXTL	11550
Fiji	11379
Trimmomatic	11278
BLASTX	11077
ArcGIS	10974
TargetScan	10879
Review Manager	10806
Origin	10348
lme4	10306
Geneious	10221
QIIME	10177
TopHat	10105
ClustalX	10074
vegan	9844
RAxML	9778
Bioconductor	9617
MrBayes	9490
SPM8	9428
Primer3	9335
edgeR	9145
Quantity One	8817
IPA	8796
R package	8724
BioEdit	8723
PLINK	8518
BWA	8309
CellQuest	8217
MedCalc	7983
RStudio	7910
PLATON	7674
ORTEP-3	7553
G*Power	7306
GATK	6992
LabVIEW	6781
PhyML	6779
SPAdes	6775
Blast2GO	6528
Chimera	6523
STAR	6487
AxioVision	6432
Coot	6410
Cluster	6340
Cufflinks	6321
Image Lab	6320
FigTree	6261
Clustal Omega	6257
PolyPhen	6232
NIH ImageJ	5883
CLC Genomics Workbench	5849
SMART	5845
MetaMorph	5827
SAS	5725
SignalP	5686
BEAST	5685
SIFT	5675
HMMER	5605
ImageQuant	5605
Epi Info	5557
Mplus	5487
SADABS	5473
Trinity	5225
Arlequin	5170
Imaris	5151
Mothur	5141
FACSDiva	5091
OriginPro	4977
STRUCTURE	4947
Minitab	4899
UCSC genome browser	4894
Gaussian	4876
miRanda	4863
DIAMOND	4826
MaxQuant	4754
EndNote	4705
Haploview	4687
FSL	4650
InterProScan	4600
REDCap	4587
DnaSP	4571
Proteome Discoverer	4546
Cutadapt	4538
BEDTools	4515
PHENIX	4447
Systat	4421
RepeatMasker	4391
PAUP*	4341
GROMACS	4340
Primer Express	4332
scikit-learn	4269
HISAT2	4254
Tracer	4249
TBLASTN	4165
ZEN	4161
PANTHER	4137
FreeSurfer	4029
pClamp	4011
Perl script	3997
tRNAscan-SE	3992
TMHMM	3982
R script	3968
jModelTest	3932
MySQL	3926
SWISS-MODEL	3916
Adobe Illustrator	3908
Qualtrics	3876
RSEM	3819
MODELLER	3793
Xcalibur	3787
MS Excel	3762
E-Prime	3733
BioRender	3705
Primer-BLAST	3696
Perl	3688
HTSeq	3684
MetaboAnalyst	3649
WGCNA	3644
Galaxy	3634
Velvet	3631
NIS-Elements	3629
geNorm	3611
WinGX	3605
Basic Local Alignment Search Tool (BLAST)	3577
nlme	3552
TreeView	3535
Pathway Analysis	3500
RAST	3457
VMD	3452
StatView	3448
Sequencher	3423
AutoDock	3422
Picard	3412
AMBER	3402
FastTree	3401
SDS	3392
PHYLIP	3376
Leica Application Suite	3370
GeneMapper	3349
publCIF	3335
Primer Premier	3334
PAML	3328
PASW Statistics	3328
pheatmap	3262
TensorFlow	3240
Stata/SE	3185
Mega	3181
SciPy	3159
REFMAC5	3122
stats	3108
Prokka	3101
ANNOVAR	3011
MassLynx	3006
survival	3001
AMOS	2991
COMSOL Multiphysics	2968
QGIS	2963
Phaser	2924
CHARMM	2919
randomForest	2906
USEARCH	2870
Integrative Genomics Viewer	2865
SurveyMonkey	2840
PAST	2828
XLSTAT	2782
Zen	2770
CCP4	2764
MASS	2750
MutationTaster	2750
MolProbity	2749
Cuffdiff	2745
I-TASSER	2721
JMP Pro	2692
LEfSe	2685
ArcMap	2680
BLAT	2652
EEGLAB	2651
FLASH	2637
PSI-BLAST	2614
Psychophysics Toolbox	2611
XDS	2594
GenAlEx	2565
GeneSpring	2561
AutoDock Vina	2518
NumPy	2510
gplots	2491
UPARSE	2477
Circos	2475
Mathematica	2446
MEGA X	2442
Clampfit	2440
UCHIME	2429
TreeAnnotator	2428
MACS	2427
Ensemble	2414
Gblocks	2414
Volocity	2414
DNAMAN	2409
iTOL	2408
featureCounts	2403
GENEPOP	2384
Jalview	2384
WebLogo	2365
EpiData	2356
Living Image	2353
GenomeStudio	2351
Discovery Studio	2350
BioNumerics	2344
phyloseq	2318
Phyre2	2316
Topspin	2289
BUSCO	2285
CellQuest Pro	2278
Prodigal	2277
Weka	2261
R Studio	2250
cBioPortal	2237
IQ-TREE	2220
UCLUST	2220
Igor Pro	2215
SOAPdenovo	2206
Artemis	2203
Matplotlib	2182
NormFinder	2182
PROCHECK	2170
SnpEff	2169
PICRUSt	2168
PyMOL Molecular Graphics System	2157
GEPIA	2123
EMBOSS	2118
BWA-MEM	2115
CrysAlis PRO	2115
DADA2	2083
Feature Extraction	2077
SIMCA-P	2076
ORF Finder	2064
KOBAS	2059
Skype	2058
Reactome	2055
LIBSVM	2046
COMSOL	2043
MAS	2028
Glimmer	2022
FMRIB	1990
LightCycler	1986
OrthoMCL	1986
CD-HIT	1983
Comprehensive Meta-Analysis	1960
Mercury	1952
Eclipse	1946
IGV	1944
pROC	1935
GeneSpring GX	1933
StringTie	1908
CrystalClear	1907
MOE	1907
Perseus	1905
Agilent Feature Extraction	1898
REST	1892
AUGUSTUS	1891
Genome Analysis Toolkit (GATK)	1874
Scaffold	1874
Keras	1868
Amira	1867
ProtParam	1867
SNAP	1865
SQL	1865
lmerTest	1860
glmnet	1854
Mauve	1838
GenStat	1830
MaxEnt	1828
GraphPad InStat	1825
Java	1817
CellProfiler	1809
RNAmmer	1808
Spike2	1804
CFX Manager	1800
VCFtools	1791
CASAVA	1786
SVM	1782
PicTar	1777
Schrödinger	1763
Design Expert	1761
igraph	1756
Newbler	1752
R/Bioconductor	1748
ANSYS	1743
Andromeda	1726
affy	1726
RDP	1720
QUAST	1694
Atlas.ti	1692
ClueGO	1683
JASP	1682
multcomp	1681
STRUCTURE HARVESTER	1677
SOAP	1670
BioMart	1660
TASSEL	1659
BD FACSDiva	1655
car	1650
SIMCA	1647
MCODE	1644
Seurat	1627
RNAfold	1626
Rosetta	1625
CIBERSORT	1607
Mesquite	1607
PASS	1607
Enrichr	1605
MUMmer	1602
ape	1594
VarScan	1590
Mimics	1579
GIS	1577
ResFinder	1577
